
ces	ce2	DETdem	NOMB.=p|GENRE=f|CAS=r
creatures	crïature	NOMcom	NOMB.=p|GENRE=f|CAS=r
que	que2	PROrel	NOMB.=p|GENRE=f|CAS=r
jo	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
vei	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
la	là	ADVgen	DEGRE=-
ester	ester	VERinf	_

fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
deu	dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
pur	por2	PRE	_
homme	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r
servir	servir	VERinf	_
e	et	CONcoo	_
honorer	onorer	VERinf	_

veir	voir	ADJqua	NOMB.=s|GENRE=n|CAS=r|DEGRE=p
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Girars	girard	NOMpro	NOMB.=s|GENRE=m|CAS=n
ço	ce1	PROdem	NOMB.=s|GENRE=m|CAS=r
ne	ne1	ADVneg	_
quier	querre	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
jo	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
celer	celer1	VERinf	_

en	en1	PRE	_
nule	nul	DETind	NOMB.=s|GENRE=f|CAS=r
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
que	qui	PROrel	NOMB.=s|GENRE=f|CAS=n
seit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
deça	deça	PRE	_
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
mer	mer	NOMcom	NOMB.=s|GENRE=f|CAS=r

ne	ne1	ADVneg	_
purreit	pöoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
l	le	DETdef	NOMB.=s|GENRE=n|CAS=n
en	on	PROind	NOMB.=s|GENRE=n|CAS=n
si	si	ADVgen	DEGRE=-
beles	bel1	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
recoverer	recovrer	VERinf	_

si	se	CONsub	_
ore	or4	ADVgen	DEGRE=-
veolt	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Karles	charles	NOMpro	NOMB.=s|GENRE=m|CAS=n
par	par	PRE	_
